iter	Passed	Remaining
0	153	153395
1	155	77613
2	159	52908
3	162	40504
4	166	33177
5	170	28270
6	174	24747
7	178	22132
8	183	20220
9	186	18414
10	189	17071
11	193	15962
12	197	15018
13	201	14221
14	205	13462
15	208	12839
16	212	12284
17	216	11803
18	220	11363
19	221	10860
20	225	10509
21	229	10187
22	233	9903
23	237	9645
24	241	9406
25	245	9182
26	249	8978
27	253	8790
28	257	8608
29	259	8402
30	263	8246
31	265	8033
32	269	7896
33	272	7743
34	276	7629
35	280	7510
36	284	7399
37	288	7296
38	292	7204
39	296	7114
40	300	7017
41	304	6935
42	306	6814
43	309	6735
44	313	6658
45	317	6589
46	322	6531
47	325	6463
48	329	6400
49	333	6340
50	337	6289
51	341	6230
52	342	6128
53	346	6075
54	351	6036
55	355	5987
56	359	5939
57	363	5897
58	367	5859
59	371	5816
60	374	5772
61	378	5732
62	385	5730
63	390	5707
64	397	5722
65	399	5656
66	403	5623
67	406	5577
68	413	5577
69	417	5546
70	421	5513
71	426	5500
72	431	5473
73	437	5474
74	443	5466
75	447	5439
76	451	5408
77	455	5381
78	459	5355
79	463	5329
80	467	5300
81	470	5271
82	474	5246
83	478	5220
84	482	5194
85	486	5175
86	491	5160
87	496	5142
88	502	5143
89	510	5156
90	516	5162
91	522	5154
92	528	5156
93	540	5205
94	546	5209
95	549	5171
96	554	5161
97	558	5141
98	562	5119
99	566	5102
100	568	5063
101	575	5070
102	580	5052
103	585	5044
104	589	5026
105	593	5007
106	596	4974
107	603	4983
108	605	4953
109	610	4937
110	615	4931
111	620	4917
112	624	4900
113	628	4883
114	632	4868
115	636	4850
116	640	4831
117	644	4814
118	648	4798
119	652	4783
120	656	4765
121	663	4775
122	668	4763
123	672	4747
124	676	4734
125	680	4721
126	684	4708
127	689	4700
128	695	4697
129	700	4687
130	704	4674
131	708	4659
132	712	4645
133	716	4631
134	720	4616
135	722	4591
136	726	4578
137	730	4564
138	736	4559
139	740	4546
140	744	4536
141	749	4529
142	754	4519
143	761	4524
144	765	4516
145	770	4506
146	778	4515
147	782	4501
148	786	4489
149	789	4472
150	795	4474
151	800	4466
152	807	4471
153	817	4489
154	823	4491
155	828	4483
156	832	4472
157	839	4476
158	844	4465
159	848	4452
160	853	4445
161	856	4432
162	860	4419
163	864	4408
164	870	4404
165	876	4402
166	883	4405
167	887	4396
168	892	4388
169	896	4378
170	900	4365
171	904	4354
172	908	4344
173	912	4331
174	916	4320
175	920	4307
176	923	4293
177	926	4280
178	930	4268
179	934	4256
180	937	4243
181	941	4232
182	945	4219
183	948	4208
184	952	4195
185	955	4182
186	959	4170
187	963	4160
188	966	4146
189	969	4135
190	973	4122
191	977	4111
192	980	4099
193	983	4087
194	987	4076
195	991	4065
196	994	4054
197	998	4042
198	1001	4031
199	1005	4021
200	1008	4010
201	1012	4000
202	1015	3988
203	1019	3977
204	1023	3967
205	1026	3956
206	1030	3945
207	1033	3935
208	1037	3926
209	1041	3918
210	1045	3908
211	1048	3898
212	1052	3888
213	1056	3878
214	1059	3868
215	1063	3858
216	1066	3848
217	1070	3838
218	1073	3829
219	1077	3819
220	1080	3809
221	1084	3800
222	1087	3790
223	1091	3781
224	1095	3772
225	1098	3763
226	1102	3754
227	1105	3744
228	1108	3732
229	1112	3725
230	1116	3718
231	1120	3710
232	1125	3706
233	1132	3708
234	1138	3705
235	1142	3697
236	1146	3691
237	1150	3683
238	1154	3674
239	1157	3665
240	1162	3660
241	1166	3652
242	1169	3644
243	1173	3635
244	1178	3630
245	1181	3622
246	1185	3614
247	1189	3605
248	1194	3601
249	1197	3593
250	1201	3586
251	1205	3577
252	1209	3571
253	1213	3564
254	1217	3557
255	1221	3549
256	1225	3543
257	1229	3535
258	1233	3527
259	1236	3519
260	1241	3513
261	1244	3506
262	1248	3498
263	1251	3490
264	1256	3484
265	1260	3478
266	1264	3470
267	1267	3462
268	1272	3459
269	1278	3456
270	1282	3449
271	1287	3444
